iter	Passed	Remaining
0	145	14430
1	147	7210
2	148	4800
3	149	3589
4	150	2866
5	152	2383
6	153	2037
7	154	1776
8	155	1573
9	156	1409
10	157	1276
11	158	1164
12	159	1069
13	160	987
14	161	917
15	162	855
16	163	800
17	165	751
18	166	708
19	167	669
20	168	633
21	169	601
22	170	571
23	171	543
24	172	517
25	173	494
26	174	472
27	175	451
28	176	432
29	177	414
30	178	397
31	179	381
32	180	366
33	181	352
34	182	338
35	183	325
36	183	313
37	184	301
38	185	290
39	186	280
40	187	270
41	188	259
42	189	250
43	190	242
44	191	233
45	192	225
46	192	217
47	193	209
48	194	202
49	195	195
50	196	188
51	197	181
52	197	175
53	199	169
54	199	163
55	200	157
56	201	152
57	202	146
58	203	141
59	204	136
60	205	131
61	206	126
62	207	122
63	209	117
64	210	113
65	211	108
66	212	104
67	213	100
68	214	96
69	215	92
70	217	88
71	218	84
72	219	81
73	220	77
74	221	73
75	222	70
76	223	66
77	225	63
78	226	60
79	227	56
80	228	53
81	229	50
82	230	47
83	231	44
84	233	41
85	234	38
86	235	35
87	236	32
88	237	29
89	238	26
90	239	23
91	240	20
92	241	18
93	242	15
94	242	12
95	243	10
96	244	7
97	245	5
98	246	2
99	247	0
